+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 10 |       NEW |     READY |
|                 0 |  2 |       NEW |     READY |
|                 0 |  7 |       NEW |     READY |
|                 0 |  2 |     READY |   RUNNING |
|               100 |  2 |   RUNNING |     READY |
|               100 |  2 |     READY |   RUNNING |
|               200 |  2 |   RUNNING |TERMINATED |
|               200 |  7 |     READY |   RUNNING |
|               300 |  7 |   RUNNING |     READY |
|               300 |  7 |     READY |   RUNNING |
|               350 |  7 |   RUNNING |TERMINATED |
|               350 | 10 |     READY |   RUNNING |
|               450 | 10 |   RUNNING |     READY |
|               450 | 10 |     READY |   RUNNING |
|               550 | 10 |   RUNNING |     READY |
|               550 | 10 |     READY |   RUNNING |
|               600 | 10 |   RUNNING |TERMINATED |
+------------------------------------------------+
